"Playlist URL","https://www.youtube.com/playlist?list=PLUrTG_BLFe3Px1QDAfkQph03D4VTSEzsW"
"Playlist title","northernlion favorites"
"Playlist author","luke"
"Videos","153"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"8mB7s8rHims","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 1316 [Judged]","Northernlion","2019-10-08","2019-06-29","https://i.ytimg.com/vi/8mB7s8rHims/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"rwhslqp5Jh8","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 1299 [Instantaneous]","Northernlion","2019-10-11","2019-06-12","https://i.ytimg.com/vi/rwhslqp5Jh8/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"rTpdkNTGMQ0","The Binding of Isaac: AFTERBIRTH+ - Northernlion Plays - Episode 1345 [Oughta]","Northernlion","2019-10-11","2019-07-28","https://i.ytimg.com/vi/rTpdkNTGMQ0/hqdefault.jpg","Afterbirth+ on Steam: http://store.steampowered.com/app/570660/

Afterbirth+ is finally out! Check out my runs and watch as we become...really real Platinum God?

If you enjoyed the video, please consider hitting the Like button. It helps me out a lot!
-----------------------------------------------
Subscribe: http://bit.ly/Northernlion
Buy my shirts! https://www.districtlines.com/NorthernLion
Follow me on Twitter: http://twitter.com/NorthernlionLP
Follow me on Facebook: http://facebook.com/Northernlion
-----------------------------------------------
About this game:

When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.

Gameplay
The Binding of Isaac is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety."
"JNgKvkTLgcA","Dark Souls Remastered - Northernlion Plays - Episode 33 [Twitch VOD]","Northernlion","2020-02-10","2018-07-31","https://i.ytimg.com/vi/JNgKvkTLgcA/hqdefault.jpg","Watch the VODs without waiting on my Twitch channel: http://twitch.tv/Northernlion

Chosen Undead, I am playing through the remastered version of Dark Souls on the newest Sunday streams! Watch me get my butt kicked in Lordran again...again!"
"B8NYtYpZusE","Dark Souls Remastered - Northernlion Plays - Episode 34 [Twitch VOD]","Northernlion","2020-02-10","2018-08-03","https://i.ytimg.com/vi/B8NYtYpZusE/hqdefault.jpg","Watch the VODs without waiting on my Twitch channel: http://twitch.tv/Northernlion

Chosen Undead, I am playing through the remastered version of Dark Souls on the newest Sunday streams! Watch me get my butt kicked in Lordran again...again!"
"AeGvLsE6BTo","Dark Souls Remastered - Northernlion Plays - Episode 36 [Twitch VOD]","Northernlion","2020-02-10","2018-08-05","https://i.ytimg.com/vi/AeGvLsE6BTo/hqdefault.jpg","Watch the VODs without waiting on my Twitch channel: http://twitch.tv/Northernlion

Chosen Undead, I am playing through the remastered version of Dark Souls on the newest Sunday streams! Watch me get my butt kicked in Lordran again...again!"
"q_Wwp8glyzU","Northernlion but Mad (Revised)","SirToastyToes","2020-02-10","2020-01-21","https://i.ytimg.com/vi/q_Wwp8glyzU/hqdefault.jpg","A hopefully more watchable version. Thanks for the feedback :)

Support me on KoFi or Patreon!
https://ko-fi.com/sirtoastytoes
https://patreon.com/SirToastyToes

Northenlion's Channels:
https://youtube.com/Northernlion
https://twitch.tv/Northernlion"
"5V8N7yPYC7c","We Need A Ladder -- Literally and Spiritually (Dark Souls Randomizer V2.0 - Episode 9) [Twitch VOD]","Northernlion","2020-03-12","2020-03-07","https://i.ytimg.com/vi/5V8N7yPYC7c/hqdefault.jpg","The first Dark Souls Randomizer was a lot of fun so I decided to jump into it again right away. This time though, I've cranked up a couple difficulty settings to make a bit more interesting. Enjoy!

This was taken from my Twitch streams. Check it out live next time at: http://twitch.tv/Northernlion

This playthrough utilizes both the Enemy Randomizer and Item Randomizer mods for Dark Souls/Dark Souls Remastered. You can find them here:
https://www.nexusmods.com/darksouls/mods/1407
https://www.nexusmods.com/darksouls/mods/1305"
"STS3tkhKSMA","A Return To The Asylum (Dark Souls Randomizer V2.0 - Episode 10) [Twitch VOD]","Northernlion","2020-03-12","2020-03-08","https://i.ytimg.com/vi/STS3tkhKSMA/hqdefault.jpg","The first Dark Souls Randomizer was a lot of fun so I decided to jump into it again right away. This time though, I've cranked up a couple difficulty settings to make a bit more interesting. Enjoy!

This was taken from my Twitch streams. Check it out live next time at: http://twitch.tv/Northernlion

This playthrough utilizes both the Enemy Randomizer and Item Randomizer mods for Dark Souls/Dark Souls Remastered. You can find them here:
https://www.nexusmods.com/darksouls/mods/1407
https://www.nexusmods.com/darksouls/mods/1305"
"yCdHjcruMTQ","Madman's Knowledge (Dark Souls Randomizer V2.0 - Episode 11) [Twitch VOD]","Northernlion","2020-03-13","2020-03-09","https://i.ytimg.com/vi/yCdHjcruMTQ/hqdefault.jpg","The first Dark Souls Randomizer was a lot of fun so I decided to jump into it again right away. This time though, I've cranked up a couple difficulty settings to make a bit more interesting. Enjoy!

This was taken from my Twitch streams. Check it out live next time at: http://twitch.tv/Northernlion

This playthrough utilizes both the Enemy Randomizer and Item Randomizer mods for Dark Souls/Dark Souls Remastered. You can find them here:
https://www.nexusmods.com/darksouls/mods/1407
https://www.nexusmods.com/darksouls/mods/1305"
