"Playlist URL","https://www.youtube.com/playlist?list=PLH-9w8wk3Fzyiq_tbSUgTLgzSeuy-ac88"
"Playlist title","Let's Play XCOM: The Long War (Mod ver. Beta 15a - V1.0)"
"Playlist author","TheUrsinus1"
"Videos","467"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL","Description"
"Iby1iFZhlv4","XCOM - The Long War - Yes/No/Coffee/Tea/Monster? - Share your thoughts!","TheUrsinus1","2015-03-16","2015-03-13","https://i.ytimg.com/vi/Iby1iFZhlv4/hqdefault.jpg","Do you want to see an XCOM: Long War series featuring the amazing ""Long War"" mod?

Regularly-scheduled Modded Civ 5 programming will, of course, continue unabated.  Think of this as another supplement of tactical/strategy goodness layered on top.

Sound off in the comments!

Mods:
http://www.nexusmods.com/xcom/mods/88/?"
"GZJ2FIDdn8A","Let's Play XCOM: Long War (Beta 15) - Episode 01 - So it Begins...","TheUrsinus1","2015-03-16","2015-03-16","https://i.ytimg.com/vi/GZJ2FIDdn8A/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"euoOW3SvTGw","Let's Play XCOM: Long War (Beta 15) - Episode 02","TheUrsinus1","2015-03-17","2015-03-17","https://i.ytimg.com/vi/euoOW3SvTGw/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"xxaqj8-81SI","Let's Play XCOM: Long War (Beta 15) - Episode 03 - Enter Van Doorn","TheUrsinus1","2015-03-18","2015-03-18","https://i.ytimg.com/vi/xxaqj8-81SI/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"Hv6BOY_bcbg","Let's Play XCOM: Long War (Beta 15) - Episode 04","TheUrsinus1","2015-03-20","2015-03-20","https://i.ytimg.com/vi/Hv6BOY_bcbg/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"_dTPhhe23lc","Let's Play XCOM: Long War (Beta 15) - Episode 05 - First Splash!","TheUrsinus1","2015-03-21","2015-03-21","https://i.ytimg.com/vi/_dTPhhe23lc/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"Ag2RqmDyeW0","Let's Play XCOM: Long War (Beta 15) - Episode 06","TheUrsinus1","2015-03-23","2015-03-23","https://i.ytimg.com/vi/Ag2RqmDyeW0/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"HLG0Jq9STdM","Let's Play XCOM: Long War (Beta 15) - Episode 07","TheUrsinus1","2015-03-24","2015-03-24","https://i.ytimg.com/vi/HLG0Jq9STdM/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"ysD_mafDHDg","Let's Play XCOM: Long War (Beta 15) - Episode 08 - Splashing that Medium","TheUrsinus1","2015-03-26","2015-03-26","https://i.ytimg.com/vi/ysD_mafDHDg/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"5rhF6o3Y9Z8","Let's Play XCOM: Long War (Beta 15) - Episode 09","TheUrsinus1","2015-03-28","2015-03-28","https://i.ytimg.com/vi/5rhF6o3Y9Z8/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"kgcCz8XqisA","Let's Play XCOM: Long War (Beta 15) - Episode 10","TheUrsinus1","2015-03-29","2015-03-29","https://i.ytimg.com/vi/kgcCz8XqisA/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"4cMxO8NigMk","Let's Play XCOM: Long War (Beta 15) - Episode 11 - Large Landed... And How...","TheUrsinus1","2015-03-31","2015-03-31","https://i.ytimg.com/vi/4cMxO8NigMk/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"V9ZF5z05TkA","Let's Play XCOM: Long War (Beta 15) - Episode 12","TheUrsinus1","2015-04-01","2015-04-01","https://i.ytimg.com/vi/V9ZF5z05TkA/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"aCn1TcmW3sk","Let's Play XCOM: Long War (Beta 15) - Episode 13 - The Terror Begins","TheUrsinus1","2015-04-07","2015-04-07","https://i.ytimg.com/vi/aCn1TcmW3sk/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"hPZl78AlYRw","Let's Play XCOM: Long War (Beta 15) - Episode 14","TheUrsinus1","2015-04-09","2015-04-09","https://i.ytimg.com/vi/hPZl78AlYRw/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"nrpZanYnBls","Let's Play XCOM: Long War (Beta 15) - Episode 15","TheUrsinus1","2015-04-10","2015-04-10","https://i.ytimg.com/vi/nrpZanYnBls/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"jdKZ5dQ5NgE","Let's Play XCOM: Long War (Beta 15) - Episode 16 - Portent","TheUrsinus1","2015-04-12","2015-04-12","https://i.ytimg.com/vi/jdKZ5dQ5NgE/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"zHcXVtfXOsg","Let's Play XCOM: Long War (Beta 15) - Episode 17","TheUrsinus1","2015-04-13","2015-04-13","https://i.ytimg.com/vi/zHcXVtfXOsg/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"wK2aPxq7BRQ","Let's Play XCOM: Long War (Beta 15) - Episode 18","TheUrsinus1","2015-04-14","2015-04-14","https://i.ytimg.com/vi/wK2aPxq7BRQ/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"G2dcnjFaTwo","Let's Play XCOM: Long War (Beta 15) - Episode 19 - Friends In Low Places","TheUrsinus1","2015-04-15","2015-04-15","https://i.ytimg.com/vi/G2dcnjFaTwo/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"YfkR1-KAYQk","Let's Play XCOM: Long War (Beta 15) - Episode 20","TheUrsinus1","2015-04-16","2015-04-16","https://i.ytimg.com/vi/YfkR1-KAYQk/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"U221I2Z8bIU","Let's Play XCOM: Long War (Beta 15) - Episode 21","TheUrsinus1","2015-04-17","2015-04-17","https://i.ytimg.com/vi/U221I2Z8bIU/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"KJtx7tIjK70","Let's Play XCOM: Long War (Beta 15) - Episode 22","TheUrsinus1","2015-04-18","2015-04-18","https://i.ytimg.com/vi/KJtx7tIjK70/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"pAFxjmG7ex4","Let's Play XCOM: Long War (Beta 15) - Episode 23 - XCOM's First Laser","TheUrsinus1","2015-04-19","2015-04-19","https://i.ytimg.com/vi/pAFxjmG7ex4/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"FOXWfjgznwQ","Let's Play XCOM: Long War (Beta 15) - Episode 24 - Now it's Our Abductor","TheUrsinus1","2015-04-20","2015-04-20","https://i.ytimg.com/vi/FOXWfjgznwQ/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"1C2YojC--fQ","Let's Play XCOM: Long War (Beta 15) - Episode 25","TheUrsinus1","2015-04-21","2015-04-21","https://i.ytimg.com/vi/1C2YojC--fQ/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"Jbrq4x2ifYs","Let's Play XCOM: Long War (Beta 15) - Episode 26","TheUrsinus1","2015-04-22","2015-04-22","https://i.ytimg.com/vi/Jbrq4x2ifYs/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"VnvtJCk6-W8","Let's Play XCOM: Long War (Beta 15) - Episode 27","TheUrsinus1","2015-04-23","2015-04-23","https://i.ytimg.com/vi/VnvtJCk6-W8/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"7jaK8k6Bmzk","Let's Play XCOM: Long War (Beta 15) - Episode 28","TheUrsinus1","2015-04-25","2015-04-25","https://i.ytimg.com/vi/7jaK8k6Bmzk/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"KFXcanyyWHg","Let's Play XCOM: Long War (Beta 15) - Episode 29 - Meet EXALT","TheUrsinus1","2015-04-27","2015-04-27","https://i.ytimg.com/vi/KFXcanyyWHg/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"BGeB4DcACLk","Let's Play XCOM: Long War (Beta 15) - Episode 30 - Bomb Disposal","TheUrsinus1","2015-05-01","2015-05-01","https://i.ytimg.com/vi/BGeB4DcACLk/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
"qNi0_6TqHAA","Let's Play XCOM: Long War (Beta 15) - Episode 31","TheUrsinus1","2015-05-05","2015-05-05","https://i.ytimg.com/vi/qNi0_6TqHAA/hqdefault.jpg","Inaugural LP of XCOM, using the massive and brutal Long War Mod, on Normal difficulty.

Mod info:
http://www.nexusmods.com/xcom/mods/88/?"
