Video ID,Playlist Video Creation Timestamp
zyEr2_-GvOQ,2023-12-08T18:56:56+00:00
ruOlujpq_ZI,2023-12-08T15:28:54+00:00
jfpnUOJENKE,2023-12-07T14:06:47+00:00
 -UOhCjB0AEI,2023-12-07T14:06:21+00:00
4rgNiqs9c_A,2023-12-07T10:38:50+00:00
iS8P4brxkkI,2023-12-06T00:44:10+00:00
T4Q7-xu4hvA,2023-12-06T00:37:51+00:00
Bg1UKbFQl_s,2023-12-03T12:38:20+00:00
DuNcIp9GhLU,2023-12-03T11:53:40+00:00
RMkssPSfjYY,2023-12-03T08:30:53+00:00
WXXR6T9Puxo,2023-12-02T20:15:42+00:00
QboIIF06h5A,2023-12-02T20:03:09+00:00
b5VhYkvOk30,2023-12-01T23:16:52+00:00
RaWtC05ujJ8,2023-12-01T09:06:23+00:00
DEETB_s86vI,2023-11-30T13:32:30+00:00
dpqelE_9OgA,2023-11-29T15:22:43+00:00
L4DC7e6g2iI,2023-11-29T04:41:20+00:00
BT6t01KGl_g,2023-11-28T13:21:03+00:00
qDBBtgJrVII,2023-11-25T10:18:16+00:00
r2krseJOG0Q,2023-11-24T04:57:48+00:00
IgdSANXdv1Y,2023-11-24T04:55:18+00:00
RUBmYqs1jZ0,2023-11-22T20:40:37+00:00
yD0_sX1qiqY,2023-11-18T00:28:56+00:00
qX3DcsRBO7E,2023-11-16T23:32:33+00:00
79BTMlgW8_w,2023-11-16T17:57:42+00:00
zm-RT9m31Tw,2023-11-14T23:52:22+00:00
GU__rpZrYFg,2023-11-13T19:00:56+00:00
CKyrzZRo-O0,2023-11-12T21:31:09+00:00
nG78wCqCJQk,2023-11-12T21:29:33+00:00
QqzgLipu9PM,2023-11-12T20:33:07+00:00
rM1HON_M1_U,2023-11-11T22:54:51+00:00
wafWhYlfzR0,2023-11-11T16:25:39+00:00
TkzG4giI8To,2023-11-09T11:39:24+00:00
qcfuA_UAz3I,2023-11-07T09:50:59+00:00
UxP_7uhVxL8,2023-11-06T19:41:45+00:00
gm9sZbKQOqg,2023-11-06T19:21:04+00:00
4HTWfcvQzmU,2023-11-03T13:23:53+00:00
WnIgtQ_80N0,2023-11-03T13:23:26+00:00
BCSeISYcoyI,2023-11-03T11:27:58+00:00
ToHpdYazoFQ,2023-11-02T14:12:48+00:00
mwD6SZCC378,2023-11-02T14:11:51+00:00
v212wpDBqQk,2023-11-02T14:11:43+00:00
3WAiCsJv57g,2023-11-02T09:26:21+00:00
eJmH3ve4hfk,2023-11-02T09:25:08+00:00
B4ICj29_Epo,2023-10-31T21:31:05+00:00
R2S63yBb0OA,2023-10-31T21:26:38+00:00
MpseenT-KIs,2023-10-28T04:00:36+00:00
UGtlCS9YFb8,2023-10-28T03:45:05+00:00
ad0C9UF6DHQ,2023-10-28T03:44:28+00:00
yVGijVMlwhg,2023-10-25T03:00:41+00:00
INjgdhFzIEY,2023-10-25T03:00:22+00:00
ItbzigCpTwk,2023-10-25T02:46:37+00:00
yTJ_RjfhGVQ,2023-10-25T02:46:18+00:00
rSY6fo7wzPg,2023-10-25T02:45:50+00:00
PL_auXwiGRM,2023-10-25T02:38:16+00:00
T-UXCsJBOmo,2023-10-23T03:45:01+00:00
rBjxMiy5wi4,2023-10-23T03:44:32+00:00
TbK_lotyoyE,2023-10-16T17:48:53+00:00
DcYLT37ImBY,2023-10-14T06:54:50+00:00
KJsWaJVtZWA,2023-10-14T04:38:44+00:00
m5Aybma3qSk,2023-10-14T04:30:35+00:00
1tlAoVLcaj8,2023-10-14T04:09:45+00:00
