Video ID,Playlist Video Creation Timestamp
lk83N2u1ZmY,2023-10-14T01:35:41+00:00
gcyrrTud3x4,2023-10-14T01:39:18+00:00
YyaC7NmPsc0,2023-10-14T01:40:25+00:00
76LJOEWCIS8,2023-10-14T01:40:40+00:00
TPAO-lZ4_hU,2023-10-14T01:41:36+00:00
u-fx3lR5WW8,2023-10-14T01:42:19+00:00
hjIci91FRX4,2023-10-14T01:42:53+00:00
hw73DlxVWrI,2023-10-14T01:43:41+00:00
ahPindVHPK4,2023-10-14T01:45:26+00:00
qtq8eYpqRCg,2023-10-14T01:46:10+00:00
_7wKjTf_RlI,2023-10-14T01:47:10+00:00
98CnBDoyS5I,2023-10-14T01:48:12+00:00
OmMyK_jDTAY,2023-10-14T01:48:37+00:00
Ha2Bp-futL8,2023-10-14T01:52:29+00:00
bPfxOYGZXLU,2023-10-14T01:53:27+00:00
gCCvPHFa3Rc,2023-10-14T02:00:48+00:00
hMloyp6NI4E,2023-10-14T02:00:54+00:00
A8zWWp0akUU,2023-10-14T02:01:18+00:00
kFjq8PX6F7I,2023-10-14T02:02:30+00:00
 -GV814cWiAw,2023-10-14T02:02:35+00:00
iCS5dFVuq8s,2023-10-14T02:03:03+00:00
NnI_1DOYt2A,2023-10-14T02:05:34+00:00
WBqP3tY3hSw,2023-10-14T02:06:22+00:00
HTSjbkTabpI,2023-10-14T02:06:30+00:00
OIfsm2lZa54,2023-10-14T02:06:35+00:00
aEsQKvNxOBc,2023-10-14T02:06:41+00:00
b5hdj7fdl1Y,2023-10-14T02:06:46+00:00
pfvk6CJ3v34,2023-10-14T02:06:51+00:00
LKUhbXDXKWU,2023-10-14T02:07:11+00:00
bXMmCi1iQSQ,2023-10-14T02:07:31+00:00
mNQCmzjh1w4,2023-10-14T02:07:43+00:00
2x9mVwUedNw,2023-10-14T02:07:54+00:00
OGG940kArLE,2023-10-14T02:08:01+00:00
RTkxzQDo0ng,2023-10-14T02:08:21+00:00
_936J2pQk8U,2023-10-14T02:08:27+00:00
Lm_AzK27mZY,2023-10-14T02:09:14+00:00
LRp9vLk7amg,2023-10-14T02:09:20+00:00
0objo8xQMbM,2023-10-14T02:10:07+00:00
rVvfJ1u5zDU,2023-10-14T02:10:14+00:00
P0NAWIG8Cvg,2023-10-14T02:10:38+00:00
Zr7PbpJeB9Y,2023-10-14T02:11:03+00:00
w5D4Fky1-rI,2023-10-14T02:11:09+00:00
MEav2slv9I8,2023-10-14T02:11:14+00:00
rlU7XtNqvIE,2023-10-14T02:11:19+00:00
BV088VJLmMg,2023-10-14T02:11:24+00:00
1w-r21nDfb0,2023-10-14T02:11:41+00:00
qQwmNdYS6W0,2023-10-14T02:11:47+00:00
WEqdqcfA4N8,2023-10-14T02:11:52+00:00
jV-DZqdKlnE,2023-10-14T02:11:57+00:00
mXzulk_R-jc,2023-10-14T02:12:04+00:00
OBusUGlnmWI,2023-10-14T02:12:40+00:00
sTMTR1nlsZA,2023-10-14T02:12:52+00:00
X8nnCPl_uwc,2023-10-14T02:12:58+00:00
U-dtYFPoDlU,2023-10-14T02:13:22+00:00
Nz-X3cCeXVE,2023-10-14T02:13:34+00:00
oXZTz3oR30A,2023-10-14T02:13:40+00:00
-9WPjynCWL4,2023-10-14T02:14:05+00:00
8uE6-vIi1rQ,2023-10-14T02:14:11+00:00
fHOtWvpdip0,2023-10-14T02:14:24+00:00
CTBor4rhnQs,2023-10-14T02:14:39+00:00
2t25bsqlTM8,2023-10-14T02:14:44+00:00
N-BbgqOjIqk,2023-10-14T02:14:49+00:00
1EJN_D9YjVI,2023-10-14T02:15:09+00:00
tGNhFaN_bS0,2023-10-14T02:16:33+00:00
uiI5f86lmr4,2023-10-14T02:16:38+00:00
4P4xJ34dmqQ,2023-10-14T02:16:43+00:00
kFC6mDKF-0c,2023-10-14T02:16:49+00:00
m5KJSAj4afg,2023-10-14T02:16:54+00:00
JfCBsSF-x9c,2023-10-14T02:16:59+00:00
s3SLdJkDr-k,2023-10-14T02:17:05+00:00
5bWIgBtZdZE,2023-10-14T02:19:30+00:00
PBcc-gqPGjc,2023-10-14T02:20:01+00:00
7ITtPPE-pXE,2023-10-14T02:20:07+00:00
yQDIL1rNVxQ,2023-10-14T02:20:12+00:00
9yjZpBq1XBE,2023-10-14T02:20:49+00:00
QuU-mdMdH4I,2023-10-14T02:22:45+00:00
OHlB_lyHaJE,2023-10-14T02:23:08+00:00
afwPNdkodVg,2023-10-14T02:23:37+00:00
8v_nOFPTbmE,2023-10-14T02:23:50+00:00
CL5CKqPNNc8,2023-10-14T02:25:58+00:00
GgEfjkkJr0k,2023-10-14T02:26:03+00:00
QcQQmaSMdU4,2023-10-14T02:26:08+00:00
rK7966WF4Qs,2023-10-14T02:26:13+00:00
vhConc2uU_E,2023-10-14T02:26:24+00:00
shKYdmmAWig,2023-10-14T02:26:29+00:00
AnEcWql-zBk,2023-10-14T02:26:45+00:00
pTfsFdHSyHg,2023-10-14T02:27:20+00:00
Adq9i7A8H9U,2023-10-14T02:27:31+00:00
EFmyL7-8MKg,2023-10-14T02:27:44+00:00
vcFBwt1nu2U,2023-10-14T02:27:56+00:00
Cdnr6NCbneQ,2023-10-14T02:28:01+00:00
_mZBa3sqTrI,2023-10-14T02:28:06+00:00
JcJSW7Rprio,2023-10-14T02:28:29+00:00
z5sjwqUten0,2023-10-14T02:28:40+00:00
mcqMic-f3oQ,2023-10-14T02:29:09+00:00
g6Gk57HKwg8,2023-10-14T02:29:14+00:00
27yzCbv4v74,2023-10-14T02:29:32+00:00
YVjT0OeE4P0,2023-10-14T02:29:42+00:00
kER78nxqNw0,2023-10-14T02:29:47+00:00
c2nVilB8QeY,2023-10-14T02:29:58+00:00
UTI4NTx2bIg,2023-10-14T02:30:40+00:00
zze8I6oeLCM,2023-10-14T02:30:56+00:00
Ak0CliamogQ,2023-10-14T02:31:01+00:00
UrMrMO2wjZA,2023-10-14T02:31:06+00:00
EtaHmaEAbi4,2023-10-14T02:31:11+00:00
8j--6gjS5KY,2023-10-14T02:31:15+00:00
iP2sXSSGG2s,2023-10-14T02:31:20+00:00
7o9OM9dDCUA,2023-10-14T02:31:28+00:00
6WwPI2O_hNo,2023-10-14T02:31:42+00:00
E5gVDDpviKo,2023-10-14T02:31:47+00:00
YQ0katDtrE4,2023-10-14T02:32:06+00:00
L2YBJWjcnUU,2023-10-14T02:32:11+00:00
yXZ5DH7cSgM,2023-10-14T02:32:30+00:00
iFtG6tLiXkI,2023-10-14T02:32:34+00:00
q4k-Gggh8uw,2023-10-14T02:32:40+00:00
wZhT--NbjJw,2023-10-14T02:32:55+00:00
 -Doeac3jh20,2023-10-14T02:33:12+00:00
6AQQ8q7vhPo,2023-10-14T02:33:17+00:00
3yTzMy5ftJU,2023-10-14T02:33:23+00:00
1CpNPLCohUg,2023-10-14T02:33:36+00:00
tWthNcF_4Uk,2023-10-14T02:33:46+00:00
UjnOdDzSxWs,2023-10-14T02:33:51+00:00
CRnrSlL-Oug,2023-10-14T02:33:56+00:00
kgf_XY3Q5mQ,2023-10-14T02:34:03+00:00
Cygl7BWGUto,2023-10-14T02:34:08+00:00
EvXJuA6Q4N8,2023-10-14T02:34:13+00:00
GMx8OsTDHfM,2023-10-14T02:34:22+00:00
e-8Ap1h9RRw,2023-10-14T02:34:26+00:00
dOUFny9eFHc,2023-10-14T02:34:31+00:00
_CJNYTs3O-U,2023-10-14T02:34:36+00:00
r2wD7Nsmr0M,2023-10-14T02:34:42+00:00
qn5Lfsmvxfs,2023-10-14T02:34:47+00:00
W98ZEZfBtXQ,2023-10-14T02:34:51+00:00
nwuljfcNeNw,2023-10-14T02:34:58+00:00
IEUqLL8J4gI,2023-10-14T02:35:05+00:00
OrkyhOG3uiQ,2023-10-14T02:35:09+00:00
T2b2GKOC_oo,2023-10-14T02:35:14+00:00
rCb4K_tc9OY,2023-10-14T02:35:19+00:00
rcX9BDgvkws,2023-10-14T02:35:24+00:00
XaEZo7QDh7s,2023-10-14T02:35:29+00:00
zU7TWQgG11A,2023-10-14T02:35:34+00:00
TIyjfpWdpWg,2023-10-14T02:35:42+00:00
Q4fpISgV6ug,2023-10-14T02:35:47+00:00
ZUb7TAkkOtk,2023-10-14T02:35:54+00:00
iENYJS0E4kM,2023-10-14T02:36:17+00:00
Z6H-GT6DnNE,2023-10-14T02:36:22+00:00
prOeb5wnNEk,2023-10-14T02:36:28+00:00
kXb3lpjhQMw,2023-10-14T02:36:33+00:00
cMduvZhatYY,2023-10-14T02:36:50+00:00
6CmX4ZmhwPM,2023-10-14T02:36:56+00:00
d7MvGFX_VKo,2023-10-14T02:37:01+00:00
4s-gJMt6bCA,2023-10-14T02:37:06+00:00
Y6DGABIcB3w,2023-10-14T02:37:39+00:00
RYoBg6UHFmw,2023-10-14T02:37:45+00:00
9gf2MT-IOsg,2023-10-14T02:37:50+00:00
lp2KVNDz6y8,2023-10-14T02:37:55+00:00
2K3q-YznZCI,2023-10-14T02:37:59+00:00
yNHlbk4IX6A,2023-10-14T02:38:15+00:00
gFTT6-XUJcE,2023-10-14T02:38:27+00:00
cWSh4ZxAr7E,2023-10-14T02:38:32+00:00
L1iY_G3fSpY,2023-10-14T02:38:48+00:00
K5AjgTCYrN4,2023-10-14T02:39:30+00:00
zrW4p19EFwU,2023-10-14T02:39:41+00:00
5qjmuW_Lsu8,2023-10-14T02:39:47+00:00
7-T6IrqxjtI,2023-10-14T02:39:54+00:00
4Nr1AgIfajI,2023-10-14T02:40:00+00:00
YrGW7lD-V6Q,2023-10-14T02:40:06+00:00
1ieGQ_YddX0,2023-10-14T02:40:10+00:00
ZBzRh6lD9J8,2023-10-14T02:40:16+00:00
NQsqdW0G_d8,2023-10-14T02:40:24+00:00
WDlY2RP3R3A,2023-10-14T02:41:08+00:00
3GbgQBjBfPA,2023-10-14T02:41:42+00:00
ymNSMqe1l9Y,2023-10-14T02:41:47+00:00
0cZy4E9B19c,2023-10-14T02:42:02+00:00
6TNkHz5p-sw,2023-10-14T02:42:07+00:00
iUzCKN3-pzc,2023-10-14T02:42:12+00:00
4mSdeda8elk,2023-10-14T02:42:47+00:00
_dZC0ra-_HE,2023-10-14T02:42:52+00:00
BH-p9H43AiA,2023-10-14T02:42:57+00:00
y_Vg20ejVCE,2023-10-14T02:43:06+00:00
t3oLeSPINOk,2023-10-14T02:43:12+00:00
3u8JBh3ciIs,2023-10-14T02:43:16+00:00
0XDawYp9mKY,2023-10-14T02:43:24+00:00
rSwYeSz91DU,2023-10-14T02:43:29+00:00
U3CONEa1lyY,2023-10-14T02:43:33+00:00
2MbEipkUcTo,2023-10-14T02:43:38+00:00
Md5PTWBuGpg,2023-10-14T02:43:42+00:00
fyxZnXc_bn4,2023-10-14T02:43:47+00:00
QAMzXGRht34,2023-10-14T02:43:52+00:00
Rg4icEb97RY,2023-10-14T02:44:15+00:00
BLHYnCjhxjI,2023-10-14T02:44:29+00:00
sVntwsrjNe4,2023-10-14T02:44:40+00:00
yA6mjuBUNfY,2023-10-14T02:44:45+00:00
VAhHkJQ3KgY,2023-10-14T02:45:42+00:00
3hK8ckkolpY,2023-10-14T02:45:47+00:00
k7SsaCPLgog,2023-10-14T02:45:58+00:00
w3swrcAnlgA,2023-10-14T02:46:45+00:00
l1FXQMmXYoA,2023-10-14T02:47:04+00:00
ooL9nVQA6qU,2023-10-14T02:47:09+00:00
yhbvmbaIvcY,2023-10-14T02:47:14+00:00
VEcmaXwjwuY,2023-10-14T02:47:22+00:00
VdqhHKjepiE,2023-10-14T02:47:34+00:00
fvyrEhAMUPo,2023-10-14T02:47:53+00:00
5wogBb2Omj0,2023-10-14T02:47:58+00:00
oRHl2PLKwfY,2023-10-14T02:48:03+00:00
C7307qRmlMI,2023-10-14T02:48:16+00:00
4PPRh9ZunmI,2023-10-14T02:48:34+00:00
3loBv-24Jvk,2023-10-14T02:48:45+00:00
7tEtCEVJt6o,2023-10-14T02:48:49+00:00
glUrzUxbepE,2023-10-14T02:49:12+00:00
LGyx-G4HPnc,2023-10-14T02:49:16+00:00
_nRzoTzeyxU,2023-10-14T02:49:21+00:00
bwdYL0KFA_U,2023-10-14T02:49:26+00:00
ab9tGLyJBRw,2023-10-14T02:49:44+00:00
7B66WJjQsEI,2023-10-14T02:50:05+00:00
iolLKGbbTrM,2023-10-14T02:50:28+00:00
p3Jbp2cZg3Q,2023-10-14T02:50:33+00:00
dbTE8a5PfqY,2023-10-14T02:50:48+00:00
P-LDN-iM4xw,2023-10-14T02:51:14+00:00
9uZam0ubq-Y,2023-10-14T02:51:35+00:00
4b80sR-joNY,2023-10-14T02:51:55+00:00
aUJAVQOgh4c,2023-10-14T02:52:00+00:00
cclUd_HoRlo,2023-10-14T02:52:22+00:00
3B7k8yfIrag,2023-10-14T02:52:44+00:00
PKZJmHrG4Yw,2023-10-14T02:52:57+00:00
1Xz5E7BrmCg,2023-10-14T02:53:02+00:00
PgnoEFpe-EM,2023-10-14T02:53:07+00:00
RaWtC05ujJ8,2023-10-14T02:53:30+00:00
KzWI_xN8-7I,2023-10-14T02:53:35+00:00
dabWpa-FwUo,2023-10-14T02:53:54+00:00
8wBQOIQHI_o,2023-10-14T02:54:11+00:00
nLAHBexJxrE,2023-10-14T02:54:24+00:00
01YqzB_KHV8,2023-10-14T02:54:32+00:00
05YRMHWtv1Y,2023-10-14T02:56:14+00:00
3bCshLeNSpY,2023-10-14T02:56:21+00:00
AJ-auWfJTts,2023-10-14T02:56:26+00:00
2a5gwWnTKpI,2023-10-14T02:56:33+00:00
UJI4ClbXNqk,2023-10-14T02:56:51+00:00
g0da1KBHZW0,2023-10-14T02:57:08+00:00
yfkKvny7mGY,2023-10-14T02:57:14+00:00
0L2n8Tg2FwI,2023-10-14T02:57:36+00:00
0L2n8Tg2FwI,2023-10-14T02:57:37+00:00
PFH7AOBue-0,2023-10-14T02:57:43+00:00
hfYtdlz4dHs,2023-10-14T02:57:49+00:00
nzlD4U0_oWM,2023-10-14T02:57:54+00:00
4tk664MfQgU,2023-10-14T02:58:19+00:00
RMf7iXipyu0,2023-10-14T02:58:27+00:00
Ysxs_oErmWo,2023-10-14T02:58:40+00:00
tKjsOu2Kzbw,2023-10-14T02:58:46+00:00
P8QGjMiEyvk,2023-10-14T02:58:55+00:00
46mw-b8VDc0,2023-10-14T02:59:08+00:00
lOjaX2Fj3fE,2023-10-14T02:59:20+00:00
gxuYHDcHO3U,2023-10-14T02:59:28+00:00
X0YcVRYmbVk,2023-10-14T02:59:34+00:00
EZg1XBjinLw,2023-10-14T02:59:39+00:00
dO6_F4rnsJM,2023-10-14T02:59:47+00:00
MyUavRdeAsk,2023-10-14T03:00:05+00:00
KPoeNZZ6H4s,2023-10-14T03:00:13+00:00
FRCfAY5Lsys,2023-10-14T03:00:41+00:00
sN1RWuGyslE,2023-10-14T03:01:12+00:00
LIDVcwNMn5c,2023-10-14T03:01:28+00:00
WKTvUrbMlrA,2023-10-14T03:01:44+00:00
ujC2bGeA4h4,2023-10-14T03:01:51+00:00
3GGg4XOsaRI,2023-10-14T03:02:00+00:00
cHQZN6Kw88k,2023-10-14T03:17:12+00:00
kSCzn39v2iA,2023-10-14T03:17:36+00:00
DZ-FRSXypUE,2023-10-14T03:18:20+00:00
zJgGOMPOGpI,2023-10-14T03:18:37+00:00
5IWz8Bx4uvU,2023-10-14T03:18:43+00:00
_eWASfsetfE,2023-10-14T03:18:51+00:00
ONaTvzNo05U,2023-10-14T03:19:33+00:00
nAkH86__g0o,2023-10-14T03:19:43+00:00
hEPfyYKU5Nk,2023-10-14T03:19:50+00:00
BGjSday7f_8,2023-10-14T03:25:07+00:00
O2C5R3FOWdE,2023-10-14T04:22:53+00:00
lfkjm2YRG-Q,2023-10-14T04:52:57+00:00
8uykZnrElME,2023-10-14T05:08:43+00:00
5UE3jz_O_EM,2023-10-14T05:10:38+00:00
kHpXle4NqWI,2023-10-14T05:10:45+00:00
FfGKNJ4mldE,2023-10-14T05:10:50+00:00
I8lQKLjmoWI,2023-10-14T05:11:31+00:00
