Video ID,Playlist Video Creation Timestamp
Y_sxuDFz73Y,2023-10-14T03:20:42+00:00
iO7DCpyJC-w,2023-10-14T03:43:23+00:00
QnHR7nI5yu4,2023-10-14T03:43:35+00:00
WC-mKjDJl_U,2023-10-14T03:44:07+00:00
Op7EWz9Su5Q,2023-10-14T03:44:21+00:00
X-06_sW8dvg,2023-10-14T03:45:34+00:00
2b22-usNLW8,2023-10-14T03:46:25+00:00
cz978TVz60w,2023-10-14T03:46:37+00:00
oe-exivOLfE,2023-10-14T03:46:42+00:00
1uGT2J-_Kt0,2023-10-14T03:46:57+00:00
KG-aIs9p7wE,2023-10-14T03:47:23+00:00
jSJa9_-cSjk,2023-10-14T03:47:38+00:00
LZZXJ3zCRDQ,2023-10-14T03:47:48+00:00
k0H1C8mD5o0,2023-10-14T03:47:54+00:00
9Q0NCY-zhGg,2023-10-14T03:47:59+00:00
jZZjmvJXPSw,2023-10-14T03:48:29+00:00
2euDSlH-_VY,2023-10-14T03:48:35+00:00
YUoOJEMgDxA,2023-10-14T03:48:57+00:00
lyWVJDv546I,2023-10-14T03:50:12+00:00
MKXF7R3HWAI,2023-10-14T03:50:31+00:00
YbaTFXlBllI,2023-10-14T03:50:39+00:00
brGguuW3Cmg,2023-10-14T03:51:18+00:00
ACVZ5b8wW14,2023-10-14T03:51:30+00:00
rKcQI_c1Wu0,2023-10-14T03:52:06+00:00
BndrU-LjWZ4,2023-10-14T03:52:31+00:00
oXu8aiASr6E,2023-10-14T03:53:10+00:00
j0fT09lNhZI,2023-10-14T03:53:24+00:00
6TDsZU9O5j0,2023-10-14T03:54:10+00:00
p1czD22oHCs,2023-10-14T03:54:18+00:00
D30r0iRH73Q,2023-10-14T05:00:18+00:00
Iby1iFZhlv4,2023-10-14T05:19:40+00:00
gHW8MdB2ft8,2023-10-14T05:20:14+00:00
NAJxIwTwE1M,2023-10-14T05:20:30+00:00
JvluYOv9DD8,2023-10-14T11:46:48+00:00
5I2VGyES7r4,2023-10-15T12:27:24+00:00
3WAiCsJv57g,2023-11-02T09:26:32+00:00
gm9sZbKQOqg,2023-12-03T22:26:19+00:00
